verb,class,noun,cmdlet
Add,addAdmin,Admin,Add-LemmyAdmin
Add,addModToCommunity,ModToCommunity,Add-LemmyModToCommunity
Approve,approveRegistrationApplication,RegistrationApplication,Approve-LemmyRegistrationApplication
Block,blockCommunity,Community,Block-LemmyCommunity
Block,blockPerson,Person,Block-LemmyPerson
Connect,login,Instance,Connect-LemmyInstance
Edit,editComment,Comment,Edit-LemmyComment
Edit,editCommunity,Community,Edit-LemmyCommunity
Edit,editPost,Post,Edit-LemmyPost
Edit,editPrivateMessage,PrivateMessage,Edit-LemmyPrivateMessage
Edit,editSite,Site,Edit-LemmySite
Get,getBannedPersons,BannedPersons,Get-LemmyBannedPersons
Get,getCaptcha,Captcha,Get-LemmyCaptcha
Get,listCommentReports,CommentReports,Get-LemmyCommentReports
Get,getComments,Comments,Get-LemmyComments
Get,listCommunities,Communities,Get-LemmyCommunities
Get,getCommunity,Community,Get-LemmyCommunity
Get,getModlog,Modlog,Get-LemmyModlog
Get,getPersonDetails,PersonDetails,Get-LemmyPersonDetails
Get,getPersonMentions,PersonMentions,Get-LemmyPersonMentions
Get,getPost,Post,Get-LemmyPost
Get,listPostReports,PostReports,Get-LemmyPostReports
Get,getPosts,Posts,Get-LemmyPosts
Get,listPrivateMessageReports,PrivateMessageReports,Get-LemmyPrivateMessageReports
Get,getPrivateMessages,PrivateMessages,Get-LemmyPrivateMessages
Get,listRegistrationApplications,RegistrationApplications,Get-LemmyRegistrationApplications
Get,getReplies,Replies,Get-LemmyReplies
Get,getReportCount,ReportCount,Get-LemmyReportCount
Get,getSite,Site,Get-LemmySite
Get,getSiteMetadata,SiteMetadata,Get-LemmySiteMetadata
Get,getUnreadCount,UnreadCount,Get-LemmyUnreadCount
Get,getUnreadRegistrationApplicationCount,UnreadRegistrationApplicationCount,Get-LemmyUnreadRegistrationApplicationCount
Lock,lockPost,Post,Lock-LemmyPost
Move,transferCommunity,Community,Move-LemmyCommunity
New,createComment,Comment,New-LemmyComment
New,createCommentReport,CommentReport,New-LemmyCommentReport
New,createCommunity,Community,New-LemmyCommunity
New,createPost,Post,New-LemmyPost
New,createPostReport,PostReport,New-LemmyPostReport
New,createPrivateMessage,PrivateMessage,New-LemmyPrivateMessage
New,createPrivateMessageReport,PrivateMessageReport,New-LemmyPrivateMessageReport
New,createSite,Site,New-LemmySite
Register,register,Person,Register-LemmyPerson
Remove,deleteAccount,Account,Remove-LemmyAccount
Remove,leaveAdmin,Admin,Remove-LemmyAdmin
Remove,deleteComment,CommentAdmin,Remove-LemmyCommentAdmin
Remove,purgeComment,CommentDatabase,Remove-LemmyCommentDatabase
Remove,removeComment,CommentMod,Remove-LemmyCommentMod
Remove,deleteCommunity,CommunityAdmin,Remove-LemmyCommunityAdmin
Remove,purgeCommunity,CommunityDatabase,Remove-LemmyCommunityDatabase
Remove,removeCommunity,CommunityMod,Remove-LemmyCommunityMod
Remove,purgePerson,Person,Remove-LemmyPerson
Remove,deletePost,PostAdmin,Remove-LemmyPostAdmin
Remove,purgePost,PostDatabase,Remove-LemmyPostDatabase
Remove,removePost,PostMod,Remove-LemmyPostMod
Remove,deletePrivateMessage,PrivateMessage,Remove-LemmyPrivateMessage
Resolve,resolveCommentReport,CommentReport,Resolve-LemmyCommentReport
Resolve,resolveObject,Object,Resolve-LemmyObject
Resolve,resolvePostReport,PostReport,Resolve-LemmyPostReport
Resolve,resolvePrivateMessageReport,PrivateMessageReport,Resolve-LemmyPrivateMessageReport
Save,saveComment,Comment,Save-LemmyComment
Save,savePost,Post,Save-LemmyPost
Save,saveUserSettings,UserSettings,Save-LemmyUserSettings
Search,search,,Search-Lemmy
Set,markAllAsRead,AllAsRead,Set-LemmyAllAsRead
Set,banFromCommunity,BanFromCommunity,Set-LemmyBanFromCommunity
Set,banPerson,BanPerson,Set-LemmyBanPerson
Set,likeComment,CommentLike,Set-LemmyCommentLike
Set,markCommentReplyAsRead,CommentReplyAsRead,Set-LemmyCommentReplyAsRead
Set,verifyEmail,EmailVerification,Set-LemmyEmailVerification
Set,featurePost,FeaturePost,Set-LemmyFeaturePost
Set,followCommunity,FollowCommunity,Set-LemmyFollowCommunity
Set,passwordChange,PasswordChange,Set-LemmyPasswordChange
Set,passwordReset,PasswordReset,Set-LemmyPasswordReset
Set,markPersonMentionAsRead,PersonMentionAsRead,Set-LemmyPersonMentionAsRead
Set,markPostAsRead,PostAsRead,Set-LemmyPostAsRead
Set,likePost,PostLike,Set-LemmyPostLike
Set,markPrivateMessageAsRead,PrivateMessageAsRead,Set-LemmyPrivateMessageAsRead
Update,changePassword,Password,Update-LemmyPassword
